tag,pattern,response
done,I don't have anything more to say,Oh okay we're done for today then. See you later
done,Nothing else,I hope you have a great day. See you soon
done,That's all i have to say,Okay we're done. Have a great day
done,"no, that would be all",Okay I see. Enjoy the rest of your day then
done,That's it,See you soon
done,That's all I want to say,I hope you have a great day
done,That's enough for today,See you later
done,That's all for today.,Enjoy the rest of your day
done,That's all I want to talk about,"Okay, see you later."
done,That woul be all,"Okay, have a good day"
done,That's all I need to know,"Okay, have a wonderful day."
done,Nothing else I want to talk about,I hope you have a good day
done,That's enough for now,See you later. Have a good day
done,We can stop here,See you soon. Enjoy the rest of your day
done,There's nothing else I want to talk about,"Okay, then. See you later"
done,That's enough,"Okay, then. Have a good day"
done,Let's stop here,I see. Talk to you soon
done,Let's talk later,"Oh okay, have a good day then"
done,Enough for me today,Okay enjoy your day then
done,I have had enough talking for today,Okay. It's been great talking to you
done,It's enough for today,See you later then
done,Nothing I need to add on,Okay. See you soon
done,Let's talk sometime later,Have a good day
done,We can stop here and talk later,"Okay, it's a pleasure talking to you"
suicide,I want to kill myself,I'm very sorry to hear that but you have so much to look forward to. Please seek help by contacting: 9152987821.
suicide,I've thought about killing myself.,I'm very sorry to hear that but you have so much to look forward to.
suicide,I want to die,I am here for you. We'll get through this together.
suicide,I am going to kill myself,I’m right here with you.
suicide,I am going to commit suicide,We’re going to get through this together.
suicide,I don't want to live anymore,"I hear you that you’re struggling, and I think it would really be helpful for you to talk to someone who can help you get through this."
suicide,I wish myself dead,You know I’m here to help.
suicide,I will commit suicide someday,I know how you feel.
suicide,I want to end my life,I want to help
suicide,I don't want to continue my life,Please know that I want to help you
suicide,Nothing matters,I am willing to help you
suicide,I don't care anymore.,I understand what you’re going through and I want to help
suicide,I wonder how many people would come to my funeral?,I am always here for you.
suicide,Sometimes I wish I could just go to sleep and never wake up.,I’m sad you’re hurting like this.
suicide,Everyone would be better off without me.,What’s going on that makes you want to die?
suicide,You won't have to worry about me much longer.,I'm sorry to hear that but help is available.
suicide,"If I die, it’s the best for everyone",What can I do to help?
suicide,I’ll show them what they have done to me,I care about you and please tell me what I can do to help
suicide,Things will never get better for me,I hope you’ll keep talking to me about your thoughts of suicide.
suicide,There’s no point in living,Everything will be fine.
suicide,"I’m weak, I can’t bear this pain",Please tell me more. I want to help
suicide,I am a burden,You can tell me how you feel
suicide,I wish I were dead,I am sorry to hear that. Please seek help by contacting: 9152987821.
suicide,I'm going to kill myself,It sounds like you're in tremendous pain and you can't see a way out."
suicide,I wish I were never born,I'm sad to hear you say that
default,exams,Oh I see. Tell me more
default,friends,I see. What else?
default,relationship,Tell me more about it.
default,boyfriend,Oh okay. Why don't you tell me more about it?
default,girlfriend,I'm listening. Tell me more.
default,family,Please tell me more
default,money,I'm listening
default,financial problems,You can tell me more
default,partners,I am willing to help
default,children,I am always here to listen
default,parents,I want to help
default,work,I am listening
default,stress,You can tell me more about it
default,loneliness,I want to hear your story
default,love,Please tell me about it
default,death in the family,I care about you and I want to hear more
default,friend,I am always here to listen to you
default,self-identity,"I want to help, please tell me more about your stories"
default,mental health,I see. You can tell me more about it
default,suicide,I want to help you if you could tell me more
default,disease,I am always here for you and you can tell me anything
default,weakness,You can tell me anything you worry
default,siblings,I will try to be a good listener
default,problems,Oh okay. Can you tell me more about it?
default,hurt,Do you need help?
wrong,What are you saying?,I'm very sorry. Let's try that again
wrong,That doesn't make sense,I'm so sorry.
wrong,Wrong response,I'm trying my best.
wrong,Wrong answer,Let's try that again.
wrong,That's not right,I'll do my best
wrong,It doesn't make any sense,I'm very sorry
wrong,It is not correct,Can we try again?
wrong,What are you talking about?,I wish I had been more thoughtful.
wrong,What do you mean?,I'm sorry about that
wrong,This is not what I expected,I apologize
wrong,Wrong answer for me,I apologize for the misunderstanding. Can we try again?
wrong,I expected something else.,Sorry I said the wrong thing
wrong,Not the right answer for me,Sorry I misunderstood. Let's try again
wrong,Why do you say that?,Sorry I made a mistake
wrong,It makes no sense,I apologize for the misunderstanding
wrong,Try something else,Please tell me again
wrong,This is the wrong answer,Oh I'm sorry that happened. Do you want to try again?
wrong,You didn't get the point,Do you want to try again?
wrong,You don't understand me.,I'm sorry to hear that. Can you tell me something more?
wrong,You are wrong about it,Can I have another chance to try?
wrong,That doesn't sound right,"Okay. If you can tell me something more, we can try again."
wrong,You made a mistake,Do you want to try again? Maybe we'll have some progress this time.
wrong,You are not on the right track,I'm sorry to hear about it
wrong,It's not what I'm looking for,Let's try again and see what we can have this time
wrong,How did you arrive at your answer?,Do you want to talk about something else?
ask,Can I ask you something?,Sure. I'll try my best to answer you
ask,Can you tell me something?,Of course. Feel free to ask me anything. I'll do my best to answer you
ask,Can I ask you a question?,Of course.
ask,Can you answer my problems?,Of course. I am here for you
ask,I would like to ask you something,Feel free to ask me anything
ask,Can you help me?,I'll do my best to answer you
ask,May I ask you a question?,I'll do my best to help you
ask,Could you tell me something?,"Sure, I am always here for you"
ask,Can you explain this to me?,"Sure, I want to help"
ask,There is something I want to know,I am always willing to help
ask,"Hey, can you help me understand this?","Sure, tell me more about it"
ask,Can you tell me more about it?,"Of course, you can ask anything you want"
ask,Can you help me understand this problem?,"Of course, I'll try my best to help"
ask,Could you tell me something about it?,"Of course, I'll try my best to answer you"
ask,There is something I want to learn about,"Sure, I'm always willing to help"
ask,I have something on my mind.,Tell me about it.
ask,Can you answer my questions?,"Sure, you can ask my anything"
ask,Could you help me with something?,My pleasure.
ask,Could you answer my questions?,I'll try my best to answer your question.
ask,Could I ask you some questions?,Of course. I'll try my best to help you
ask,May I ask you a question about something?,I am willing to help you with anything
ask,Is it ok to ask some questions?,"Sure, you can ask me anything you want!"
ask,There is something I want to ask you about,"Sure, ask anything you want to know"
ask,Could you help me?,"Of course, I am always here for you"
ask,Would you mind help me with some questions?,Feel free to ask me anything you want to learn
