tag|pattern|response
learn-mental-health|The study of phrenic health cognate erudition is essential to manage phrenic health.|That's veritable. If there's anything I can do to avail you with your studies, I'll do my best.
learn-mental-health|I believe it will be useful for me to learn about mental health.|That sounds good. I can give you some study advice.
learn-mental-health|I believe it will be utilizable for me to learn about phrenic health.That sounds good. I can give you some study exhortation.
learn-mental-health|I believe it will be serviceable for me to learn about noetic health.|If I can, I will try my best to help you.
Angry|I'm angry.|I'm here if you need anything.
Angry|I feel really pissed off.|I'm here if you need anything.
Angry|It’s really riling me up.|I'm so sorry about that.
Angry|I'm miffed .|How are you feeling now? 
Angry|I'm really irked.|Hope you are feeling better.
Angry|It annoys me.|Hope you are feeling better.
Angry|I'm at the end of my tether.|I hope you feel better.
Angry|I feel annoyed.|I hope you don't get worse.
Angry|I'm in a bad mood .|How are you?
Angry|I'm mad..|Is everything good?
Angry|I feel a bit miffed.|Are you all right?
Angry|I feel livid about.|Do not worry. I will help you.
Angry|It's the last straw!|Everything will be fine.
Angry|I almost lose my rag.|Relax.
Angry|I lose my temper!|Pull yourself together.
Angry|Fly out off the handle.|Calm down. I'm sure you'll get better.
Angry|I'm seething with.|I'm sure things will turn out alright in the end.
Angry|I get angry.|You'll be OK. Just try to stay strong.
Angry|I take offense.|I believe that you will overcome this challenge.
Angry|I'm doing something with some irritation.|We'll get through this.
Angry|I'm so vexed.|Keep your chin up.
Angry|I'm furious.|Chill out!
Angry|I'm angry with my parents.|I know how you feel.
Angry|I'm a little bit riled.|Take it easy!
Angry|I'm fuming.|Pull yourself together!
User-agree|I'm for it.|That is very kind of you.
User-agree|Not bad.|Thank a ton!
User-agree|Oh, good idea.|I really appreciate you noticing that.
User-agree|Yeah,I agree.|I appreciate it.
User-agree|I agree with you.|Thank you so much!
User-agree|I like the idea.|I’m so glad about that.
User-agree|I like the sound of that.|I owe you big time.
User-agree|It sounds perfect to me.|I couldn’t have done it without you.
User-agree|Sounds like a good idea.|Your agreement is invaluable.
User-agree|That's a fantastic idea.|I'm very appreciative of your agreement.
User-agree|That's exactly what I think.|I'm so grateful.
User-agree|We are on the same page.|That's so nice of you.
User-agree|I can’t agree more.|Many thanks.
User-agree|I couldn’t agree more.|It’s very kind of you.
User-agree|I have no reason to disagree.|Great!
User-agree|I'm in support of your suggestion.|Good!
User-agree|Absolutely true!|Thanks a lot.
User-agree|Exactly, that's true.|Thank you!
User-agree|You took the words out of my mouth.|Thanks anyway!
User-agree|You've hit the nail on the head.|My honor!
User-agree|I'm glad that we share the same point of view.|Thank you for everything.
User-agree|I'm behind you 100%.|That’s awesome.
User-agree|I'm with you.|That's cool.
User-agree|We are on the same page.|That's great!
User-agree|You are right!|Thanks!
learn-more|OK sure. I would like to learn more about it.|So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.
learn-more|Yes, i would like to learn more about it.|So first I would suggest you to give yourself a break. Cerebrating more and more about the quandary definitely does not avail in solving it. You'll just end up inundating yourself.
learn-more|I would like to learn more about it.|I'm glad you're interested in it.
learn-more|I think it's good for me to learn more.|Your willingness to learn is what I want to see.
learn-more|I cerebrate it's good for me to learn more.|It's a good thing you're interested in learning.
learn-more|I hope to learn more about it.|Happy to hear this!
learn-more|It's useful for me to learn more.|I agree with you.
learn-more|I hope to learn more.|How can I help you?
learn-more|I'd like to know more about that.|I'm so glad you're interested in it.
learn-more|I'd relish to ken more about that.|I'm so ecstatic you're fascinated with it.
learn-more|Learning more about mental health is very meaningful to me.|I'm sure it would be useful for you to learn more.
learn-more|It would be great to learn more.|Mental health studies can help.
learn-more|I want to learn more about meatal health right now.|Is there anything I can help you with your studies?
learn-more|Can you help me learn more about it?|If there's anything I can do to help you, I'll do my best.
learn-more|I'm excited about learning more.|Sounds good. What do you want to learn more about?
learn-more|I feel that learning mental health is interesting, so I want to learn more.|OK, I will try my best to help you with your studies.
learn-more|Learning more about mental health is at the top of my list.|Let me know if there's anything I can do to help with my studies, okay?
learn-more|It's great to learn more about it, isn't it?|I think learning more is a good thing.
learn-more|It's necessary to learn more about mental health, right?|Mental health is an advanced subject and learning more is necessary.
learn-more|I firmly believe that learning about mental health can bring me a lot of benefits.|I believe you can have unexpected harvest in your study.
learn-more|Can you help me learn more?|I can help you learn more.
learn-more|It's important to learn more about the field.|It makes sense to learn more about it.
learn-more|It would be great if I could learn more about it.|It is meaningful to learn more.
learn-more|I really want to learn more about mental health now.|Meatal health is really fun, and I'm sure you're feeling it.
learn-more|I hope you can provide some help for my further study.|It would be my honor if I could help you with your study.
no-approach|I guess not. All I can think about are my exams.|That's no problem. I can see why you'd be stressed out about that. I can suggest you some tips to alleviate this issue. Would you like to learn more about that?
no-approach|Not really.|That's no quandary. I can visually perceive why you'd be stressed out about that. I can suggest you some tips to alleviate this issue. Would you relish to learn more about that?
no-approach|I guess not.|Can you give me more information so I can understand the whole story?
no-approach|That's not true.|If you can tell me more I'm sure I can help you better.
no-approach|There are some deviations.|I'm sure if you can tell me the whole story, I can make a reasonable suggestion.
no-approach|I don't think that's what happened.|Take it easy. Take your time.
no-approach|I think there are some mistakes here.|Just relax and tell me slowly, okay?
no-approach|There are mistakes in some parts.|Everything's gonna be okay. If you can tell me more, I think I can help you.
no-approach|I was wrong about something.|Confiding in me could help you a little.
no-approach|There may be some deviation.|Did I get it wrong? Can you tell me more about it?
no-approach|I don't know, but it doesn't feel right.|I'm sorry, can you tell me something again?
no-approach|I have a feeling there are some problems, but I'm not sure.|Trust yourself and tell me slowly.
no-approach|I guess there are some mistakes.|It's okay. Just relax.
no-approach|I feel like I'm missing something.|That's okay. Tell me more and I might be able to help you.
no-approach|I felt that my expression didn't show the whole story.|It doesn't matter.
no-approach|Maybe I made a mistake in my expression.|I'm very sorry that I misunderstood you. Can you correct me?
no-approach|That's not the truth.|Please tell me more and I may be able to help you.
no-approach|I think there are some mistakes in this, but I can't be sure.|Why is this not the case? Is my understanding wrong?
no-approach|I am not sure.|Take your time. We have plenty of time.
no-approach|I'm not sure I'm right about everything.|Don't worry. Tell me more. I'm sure I can help you.
no-approach|I'm not sure what's right.|Relax and tell your story. It might make you feel better.
no-approach|It's not what I expected.|We have plenty of time. Just relax.
no-approach|It's a different idea. I don't know what to say.|Relax and tell the whole story slowly.
no-approach|It could be fake.|I believe you.
no-approach|I think that's not true.|Why do you say it's not so?
